Statistical profiling result from isolate-0x105800000-v8.log, (71385 ticks, 5238 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    377    0.5%          /usr/lib/system/libsystem_c.dylib
    134    0.2%          /usr/lib/system/libsystem_malloc.dylib
    107    0.1%          /usr/lib/system/libsystem_pthread.dylib
     52    0.1%          /usr/lib/system/libsystem_platform.dylib
     27    0.0%          /usr/lib/libc++abi.dylib

 [JavaScript]:
   ticks  total  nonlib   name
  15295   21.4%   21.6%  LazyCompile: *com.cognitect.transducers.Map.@@transducer/step /Users/danielo/GIT/benchmarks-js/node_modules/transducers-js/transducers.js:720:72
   5033    7.1%    7.1%  Builtin: ArgumentsAdaptorTrampoline
   4558    6.4%    6.4%  LazyCompile: *com.cognitect.transducers.arrayReduce /Users/danielo/GIT/benchmarks-js/node_modules/transducers-js/transducers.js:1010:49
   2398    3.4%    3.4%  LazyCompile: *inc /Users/danielo/GIT/benchmarks-js/src/benchmarks/transducers-dry.js:8:13
   2158    3.0%    3.1%  Builtin: CallFunction_ReceiverIsAny
   1976    2.8%    2.8%  LazyCompile: *com.cognitect.transducers.Filter.@@transducer/step /Users/danielo/GIT/benchmarks-js/node_modules/transducers-js/transducers.js:741:75
   1870    2.6%    2.6%  Builtin: OrdinaryHasInstance
   1869    2.6%    2.6%  LazyCompile: *benchmark /Users/danielo/GIT/benchmarks-js/src/benchmarks/transducers-dry.js:30:40
   1824    2.6%    2.6%  LazyCompile: *isEven /Users/danielo/GIT/benchmarks-js/src/benchmarks/transducers-dry.js:9:16
   1742    2.4%    2.5%  Builtin: ArrayReduce
   1298    1.8%    1.8%  LazyCompile: *com.cognitect.transducers.into /Users/danielo/GIT/benchmarks-js/node_modules/transducers-js/transducers.js:1081:42
   1265    1.8%    1.8%  Builtin: Call_ReceiverIsAny
   1220    1.7%    1.7%  Builtin: CallBoundFunction
    745    1.0%    1.1%  LazyCompile: *benchmark /Users/danielo/GIT/benchmarks-js/src/benchmarks/transducers-dry.js:38:61
    689    1.0%    1.0%  Builtin: ArrayMapLoopContinuation
    650    0.9%    0.9%  LazyCompile: *arrayReduce /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:696:23
    462    0.6%    0.7%  LazyCompile: *com.cognitect.transducers.transduce /Users/danielo/GIT/benchmarks-js/node_modules/transducers-js/transducers.js:1058:47
    421    0.6%    0.6%  Builtin: Call_ReceiverIsNullOrUndefined
    414    0.6%    0.6%  Stub: CEntryStub {1}
    359    0.5%    0.5%  LazyCompile: *reduce /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:9694:20
    344    0.5%    0.5%  Builtin: ArrayFilterLoopContinuation
    199    0.3%    0.3%  Stub: GetPropertyStub
    118    0.2%    0.2%  Function: ~<anonymous> :1:10
     62    0.1%    0.1%  Builtin: InterpreterEntryTrampoline
     59    0.1%    0.1%  Builtin: KeyedLoadIC_Megamorphic
     50    0.1%    0.1%  Builtin: KeyedStoreIC_Megamorphic
     47    0.1%    0.1%  LoadIC: A load IC from the snapshot
     42    0.1%    0.1%  LazyCompile: *template /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:14748:22
     39    0.1%    0.1%  Stub: CallICStub
     27    0.0%    0.0%  Stub: StringAddStub
     26    0.0%    0.0%  Function: ~<anonymous> :4:16
     24    0.0%    0.0%  LazyCompile: *<anonymous> /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:12685:47
     24    0.0%    0.0%  Function: ~<anonymous> /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:14842:36
     23    0.0%    0.0%  Builtin: ObjectHasOwnProperty
     22    0.0%    0.0%  Function: ~<anonymous> /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:14785:44
     22    0.0%    0.0%  Builtin: RegExpReplace
     20    0.0%    0.0%  StoreIC: A store IC from the snapshot
     18    0.0%    0.0%  KeyedLoadIC: A keyed load IC from the snapshot
     18    0.0%    0.0%  Builtin: RegExpPrototypeExec
     18    0.0%    0.0%  Builtin: Equal
     18    0.0%    0.0%  Builtin: CallFunction_ReceiverIsNullOrUndefined
     17    0.0%    0.0%  StoreIC: A store IC from the snapshot {1}
     14    0.0%    0.0%  Stub: ArraySingleArgumentConstructorStub {2}
     14    0.0%    0.0%  Function: ~createCompiled /Users/danielo/GIT/benchmarks-js/node_modules/benchmark/benchmark.js:1668:30
     13    0.0%    0.0%  Function: ~ConvertToString native array.js:133:25
     12    0.0%    0.0%  Function: ~stackSet /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:2371:22
     12    0.0%    0.0%  Builtin: StrictEqual
     12    0.0%    0.0%  Builtin: HasProperty
     12    0.0%    0.0%  Builtin: ForInPrepare
     11    0.0%    0.0%  RegExp: ['\\n\\r\\u2028\\u2029\\\\]
     11    0.0%    0.0%  LazyCompile: *baseClone /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:2641:23
     11    0.0%    0.0%  LazyCompile: *<anonymous> /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:4874:31
     11    0.0%    0.0%  Builtin: StringEqual
     11    0.0%    0.0%  Builtin: FastNewClosure
     10    0.0%    0.0%  Stub: StringAddStub {1}
     10    0.0%    0.0%  Stub: CallApiGetterStub
     10    0.0%    0.0%  Function: ~evaluate /Users/danielo/GIT/benchmarks-js/node_modules/benchmark/benchmark.js:1889:24
      9    0.0%    0.0%  Function: ~clock /Users/danielo/GIT/benchmarks-js/node_modules/benchmark/benchmark.js:1569:23
      9    0.0%    0.0%  Eval: ~<anonymous> :1:1
      8    0.0%    0.0%  Stub: ArraySingleArgumentConstructorStub
      8    0.0%    0.0%  Function: ~reduce /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:9694:20
      8    0.0%    0.0%  Function: ~benchmark /Users/danielo/GIT/benchmarks-js/src/benchmarks/transducers-dry.js:34:61
      8    0.0%    0.0%  Function: ~<anonymous> /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:2696:41
      8    0.0%    0.0%  Function: ~<anonymous> /Users/danielo/GIT/benchmarks-js/node_modules/benchmark/benchmark.js:1466:39
      7    0.0%    0.0%  LazyCompile: *has /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:13146:17
      7    0.0%    0.0%  LazyCompile: *<anonymous> /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:6585:22
      7    0.0%    0.0%  Function: ~toString native array.js:249:50
      7    0.0%    0.0%  Function: ~emit /Users/danielo/GIT/benchmarks-js/node_modules/benchmark/benchmark.js:1202:18
      7    0.0%    0.0%  Function: ~baseGetTag /Users/danielo/GIT/benchmarks-js/node_modules/lodash/lodash.js:3074:24
      7    0.0%    0.0%  Builtin: StringPrototypeSlice
      7    0.0%    0.0%  Builtin: LoadIC_Noninlined
      7    0.0%    0.0%  Builtin: KeyedStoreIC_Megamorphic_Strict
      7    0.0%    0.0%  Builtin: FastCloneRegExp
      7    0.0%    0.0%  Builtin: CallWithArrayLike
      6    0.0%    0.0%  LazyCompile: *interpolate /Users/danielo/GIT/benchmarks-js/node_modules/benchmark/benchmark.js:1784:27
      6    0.0%    0.0%  LazyCompile: *createCompiled /Users/danielo/GIT/benchmarks-js/node_modules/benchmark/benchmark.js:1668:30
      6    0.0%    0.0%  LazyCompile: *DoJoin native array.js:95:16
